name,align,eye,hair,sex,year
Langford Terrill,Good Characters,Blue Eyes,Blond Hair,Male Characters,1940
Ryan Kendall,Good Characters,Blue Eyes,Black Hair,Male Characters,1992
Death,Neutral Characters,Black Eyes,Black Hair,Female Characters,1989
Cameron Mahkent,Bad Characters,Blue Eyes,White Hair,Male Characters,1987
Trigon,Bad Characters,Red Eyes,Red Hair,Male Characters,1981
James Rook,Good Characters,Green Eyes,Brown Hair,Male Characters,1969
Roscoe Dillon,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1961
Jonathan Gabrielli I,Good Characters,Black Eyes,Black Hair,Male Characters,1942
Anita Fite,Good Characters,Brown Eyes,Black Hair,Female Characters,2000
Arak Red-Hand,Good Characters,Brown Eyes,Black Hair,Male Characters,1981
Anthony Rodriguez I,Good Characters,Black Eyes,Brown Hair,Male Characters,1942
Paul Kirk II,Good Characters,Blue Eyes,Brown Hair,Male Characters,1942
Hera,Neutral Characters,Blue Eyes,Red Hair,Female Characters,1941
Baby Wildebeest,Good Characters,White Eyes,Black Hair,Male Characters,1992
Troy Stewart,Good Characters,Black Eyes,Black Hair,Male Characters,1976
Sebastian Faust,Good Characters,Blue Eyes,Black Hair,Male Characters,1993
Voz,Good Characters,Brown Eyes,Brown Hair,Male Characters,1993
Stanley Kitch,Good Characters,Blue Eyes,Blond Hair,Male Characters,1989
Henry Heywood III,Good Characters,Blue Eyes,Red Hair,Male Characters,1984
Yera Allon,Good Characters,Purple Eyes,Purple Hair,Female Characters,1982
Anton Arcane,Bad Characters,Black Eyes,White Hair,Male Characters,1973
Judy Walton,Good Characters,Blue Eyes,Blond Hair,Female Characters,1960
Johnny Peril,Good Characters,Blue Eyes,Blond Hair,Male Characters,1947
Michael Akins,Neutral Characters,Brown Eyes,Black Hair,Male Characters,2001
Natt Walls,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1996
Carol Bucklen,Good Characters,Brown Eyes,Black Hair,Female Characters,1995
Jared Stevens,Good Characters,Blue Eyes,Black Hair,Male Characters,1994
Satanus,Bad Characters,Red Eyes,Black Hair,Male Characters,1992
Big Bear,Good Characters,Green Eyes,Red Hair,Male Characters,1971
Merlyn,Bad Characters,Black Eyes,Black Hair,Male Characters,1971
Arthur Curry Jr.,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,1965
Jennifer Pierce,Good Characters,Brown Eyes,Black Hair,Female Characters,2008
Knockout,Bad Characters,Blue Eyes,Red Hair,Female Characters,1994
Daniel Chase,Good Characters,Green Eyes,Red Hair,Male Characters,1987
Danton Black,Bad Characters,Blue Eyes,Black Hair,Male Characters,1978
Lori Zechlin,Neutral Characters,Blue Eyes,Black Hair,Female Characters,2005
Cody Driscoll,Good Characters,Green Eyes,Blond Hair,Male Characters,1996
Helena Kosmatos,Good Characters,Red Eyes,Blond Hair,Female Characters,1987
Kalista,Good Characters,White Eyes,Purple Hair,Female Characters,1981
Beautiful Dreamer,Good Characters,Blue Eyes,Black Hair,Female Characters,1971
James Craddock,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1947
Katherine Kane,Good Characters,Green Eyes,Red Hair,Female Characters,2006
Rex Leech,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,1993
Artemis Goddess of the Hunt,Neutral Characters,Blue Eyes,Red Hair,Female Characters,1987
Andrew Bennett,Good Characters,Red Eyes,Black Hair,Male Characters,1981
Mark Moonrider,Good Characters,Blue Eyes,Black Hair,Male Characters,1971
Serifan,Good Characters,Blue Eyes,Blond Hair,Male Characters,1971
Phillip Mason,Good Characters,Blue Eyes,Blond Hair,Male Characters,1959
Joar Mahkent,Bad Characters,Blue Eyes,Red Hair,Male Characters,1947
Koryak,Good Characters,Brown Eyes,Black Hair,Male Characters,1995
Lyrl Dox,Bad Characters,Green Eyes,Blond Hair,Male Characters,1991
Lonnie Machin,Good Characters,Blue Eyes,Red Hair,Male Characters,1989
Sodam Yat,Good Characters,Green Eyes,Black Hair,Male Characters,1986
Chester Williams,Good Characters,Blue Eyes,Red Hair,Male Characters,1985
Angela Roth,Good Characters,Blue Eyes,Black Hair,Female Characters,1981
Christopher King,Good Characters,Blue Eyes,Blond Hair,Male Characters,1981
Mad Harriet,Bad Characters,Black Eyes,Green Hair,Female Characters,1972
Vykin the Black,Good Characters,Brown Eyes,Black Hair,Male Characters,1971
Donald Hall,Good Characters,Blue Eyes,Blond Hair,Male Characters,1968
Lor-Zod,Good Characters,Brown Eyes,Brown Hair,Male Characters,2006
Blaze,Bad Characters,Red Eyes,Black Hair,Female Characters,1990
Bernadeth,Bad Characters,Brown Eyes,Black Hair,Female Characters,1972
Jay Abrams,Good Characters,Grey Eyes,Black Hair,Male Characters,1971
Mortimer Jibbet,Good Characters,Brown Eyes,Black Hair,Male Characters,1939
Iolande,Good Characters,Purple Eyes,Black Hair,Female Characters,2006
Yrra Cynril,Neutral Characters,Brown Eyes,Black Hair,Female Characters,1997
Mona Bennett,Good Characters,Blue Eyes,Blond Hair,Female Characters,1963
Joseph Jones,Good Characters,Blue Eyes,Black Hair,Male Characters,1991
Matthew Ryder,Good Characters,Blue Eyes,Blond Hair,Male Characters,1991
Neptune Perkins,Good Characters,Blue Eyes,Black Hair,Male Characters,1945
Irene Miller,Good Characters,Grey Eyes,Black Hair,Female Characters,1940
Helen Claiborne,Neutral Characters,Blue Eyes,Black Hair,Female Characters,1995
Crystal Brown,Good Characters,Green Eyes,Brown Hair,Female Characters,1992
Mary Elizabeth Kane,Good Characters,Blue Eyes,Blond Hair,Female Characters,1989
Joseph Chilton,Bad Characters,Hazel Eyes,Blond Hair,Male Characters,1987
Siobhan McDougal,Bad Characters,White Eyes,White Hair,Female Characters,1987
Miya Shimada,Good Characters,Brown Eyes,Black Hair,Female Characters,1984
Alec Holland,Good Characters,Blue Eyes,Blond Hair,Male Characters,1972
Bito Wladon,Bad Characters,Blue Eyes,Black Hair,Male Characters,1962
Poseidon,Neutral Characters,White Eyes,White Hair,Male Characters,1940
Ryan Choi,Good Characters,Brown Eyes,Black Hair,Male Characters,2006
Hunter Zolomon,Bad Characters,Red Eyes,Brown Hair,Male Characters,2001
Wendy Jones,Good Characters,Blue Eyes,Blond Hair,Female Characters,1984
Arani Desai,Good Characters,Blue Eyes,Black Hair,Female Characters,1977
Duela Dent,Neutral Characters,Purple Eyes,Red Hair,Female Characters,1976
Richard Drakunovski,Good Characters,Blue Eyes,Red Hair,Male Characters,1975
Calvin Carson,Good Characters,Blue Eyes,Brown Hair,Male Characters,1960
Gregory Sanders,Good Characters,Brown Eyes,Brown Hair,Male Characters,1941
Mist I,Bad Characters,Blue Eyes,White Hair,Male Characters,1941
Rodney Gaynor,Good Characters,Blue Eyes,Black Hair,Male Characters,1940
Larfleeze,Neutral Characters,Yellow Eyes,Orange Hair,Male Characters,2008
Sean Noonan,Good Characters,Brown Eyes,Black Hair,Male Characters,1993
William Everett Sr.,Good Characters,Brown Eyes,Black Hair,Male Characters,1983
Selinda Flinders,Bad Characters,Blue Eyes,Red Hair,Female Characters,1981
Gavyn,Good Characters,Blue Eyes,Blond Hair,Male Characters,1980
Jon Valor,Good Characters,Brown Eyes,Brown Hair,Male Characters,1940
Zachary Zatara,Good Characters,Green Eyes,Black Hair,Male Characters,2006
Alura In-Ze,Good Characters,Blue Eyes,Blond Hair,Female Characters,2004
Iris West II,Good Characters,Green Eyes,Red Hair,Female Characters,1999
Sandra Knight,Good Characters,Black Eyes,Black Hair,Female Characters,1987
Elizabeth Chapel,Good Characters,Brown Eyes,Black Hair,Female Characters,1985
Teekl,Neutral Characters,Red Eyes,Orange Hair,Male Characters,1973
Louis Kiyahani,Good Characters,Brown Eyes,Black Hair,Male Characters,1963
Dru-Zod II,Bad Characters,Black Eyes,Black Hair,Male Characters,1961
Paco Testas,Good Characters,Black Eyes,Brown Hair,Male Characters,2006
Mitchell Shelley,Good Characters,Brown Eyes,White Hair,Male Characters,1997
Roy Raymond Jr.,Good Characters,Black Eyes,Blond Hair,Male Characters,1997
Audrey Spears,Good Characters,Brown Eyes,Brown Hair,Female Characters,1996
William Henderson,Good Characters,Brown Eyes,Brown Hair,Male Characters,1987
Helga Jace,Bad Characters,Blue Eyes,Grey Hair,Female Characters,1983
Edward Raymond,Good Characters,Brown Eyes,Brown Hair,Male Characters,1978
Traya Sutton,Good Characters,Blue Eyes,Black Hair,Female Characters,1978
Rac Shade,Good Characters,Blue Eyes,Red Hair,Male Characters,1977
Glorious Godfrey,Bad Characters,Black Eyes,Red Hair,Male Characters,1971
William Walker,Neutral Characters,Black Eyes,Black Hair,Male Characters,1971
Rama Kushna,Neutral Characters,Black Eyes,Black Hair,Female Characters,1967
Laura De Mille,Bad Characters,Blue Eyes,Black Hair,Female Characters,1964
June Robbins,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,1957
Janu,Good Characters,Black Eyes,Brown Hair,Male Characters,1954
Myra Mason,Good Characters,Blue Eyes,Blond Hair,Female Characters,1941
Sayd,Good Characters,Green Eyes,White Hair,Female Characters,2007
Catalina Flores,Good Characters,Brown Eyes,Black Hair,Female Characters,2002
Manitou Raven,Good Characters,White Eyes,Black Hair,Male Characters,2002
Josephine MacDonald,Good Characters,Brown Eyes,Black Hair,Female Characters,2001
Ariana Dzerchenko,Good Characters,Blue Eyes,Black Hair,Female Characters,1992
Lazarus Lane,Good Characters,Blue Eyes,Black Hair,Male Characters,1970
Abel,Neutral Characters,Blue Eyes,Black Hair,Male Characters,1969
Strong Bow,Good Characters,Brown Eyes,Black Hair,Male Characters,1951
Phoebus Apollo,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,1941
Arthur Pendragon,Good Characters,Brown Eyes,Brown Hair,Male Characters,1936
Brenda Del Vecchio,Good Characters,Brown Eyes,Red Hair,Female Characters,2006
Jai West,Good Characters,Brown Eyes,Black Hair,Male Characters,2005
Jessica Midnight,Good Characters,Blue Eyes,Black Hair,Female Characters,2002
Stacy,Neutral Characters,Green Eyes,Red Hair,Female Characters,2000
Donna Carol Force,Good Characters,Blue Eyes,Brown Hair,Female Characters,1993
Mariah Romanova,Good Characters,Blue Eyes,Red Hair,Female Characters,1977
Christopher Chance,Good Characters,Blue Eyes,Black Hair,Male Characters,1972
Eve Aries,Bad Characters,Green Eyes,Red Hair,Female Characters,1961
Harold Shapiro,Good Characters,Blue Eyes,Red Hair,Male Characters,1961
Ursa,Bad Characters,Brown Eyes,Brown Hair,Female Characters,2007
Amon Tomaz,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2006
Taleb Beni Khalid,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,2006
Dudley Soames,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,1996
Preston Lindsay,Good Characters,Blue Eyes,Blond Hair,Male Characters,1995
William Everett III,Good Characters,Brown Eyes,Black Hair,Male Characters,1994
Frieda Goren,Good Characters,Green Eyes,Red Hair,Female Characters,1993
Shilo Norman,Good Characters,Brown Eyes,Black Hair,Male Characters,1973
John Dee,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1961
Adrianna Tomaz,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,2006
Brainiac 8,Good Characters,Red Eyes,Pink Hair,Female Characters,2003
Aleea Strange,Good Characters,Blue Eyes,Blond Hair,Female Characters,1990
Anatoli Knyazev,Bad Characters,Brown Eyes,Blond Hair,Male Characters,1988
Sigrid Nansen,Good Characters,Blue Eyes,White Hair,Female Characters,1986
Kole Weathers,Good Characters,Blue Eyes,Red Hair,Female Characters,1985
Arthur Hall,Good Characters,Brown Eyes,White Hair,Male Characters,1982
Cyril Sheldrake,Good Characters,Brown Eyes,Brown Hair,Male Characters,1950
Thara Ak-Var,Good Characters,Brown Eyes,Brown Hair,Female Characters,2008
Amy Allen,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,2006
Isaiah Crockett,Good Characters,Brown Eyes,Brown Hair,Male Characters,1996
Azrael,Neutral Characters,Gold Eyes,Black Hair,Male Characters,1985
Elizabeth Tremayne,Good Characters,Blue Eyes,Red Hair,Female Characters,1982
Walter Johnson II,Good Characters,Brown Eyes,Black Hair,Male Characters,1970
Lawrence Crock,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1947
Lance Gallant,Good Characters,Blue Eyes,Blond Hair,Male Characters,1943
Joan Dale,Good Characters,Blue Eyes,Black Hair,Female Characters,1941
Lawrence Belmont,Good Characters,Blue Eyes,Brown Hair,Male Characters,1940
Non,Bad Characters,Blue Eyes,Black Hair,Male Characters,2007
Charlotte Gage-Radcliffe,Good Characters,Blue Eyes,Red Hair,Female Characters,2006
Stormy Knight,Good Characters,Blue Eyes,Black Hair,Female Characters,2006
Ramsey Robinson,Good Characters,Blue Eyes,Black Hair,Male Characters,2004
Zor-El,Good Characters,Blue Eyes,Blond Hair,Male Characters,2004
Merayn Dethalis,Good Characters,Yellow Eyes,Purple Hair,Female Characters,1993
Robert Hinckley Long,Neutral Characters,Black Eyes,Red Hair,Male Characters,1992
Shado,Neutral Characters,Brown Eyes,Black Hair,Female Characters,1987
Sarah Simms,Good Characters,Blue Eyes,Blond Hair,Female Characters,1981
Maximillian Zeus,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1979
Glenda Mark,Good Characters,Blue Eyes,Blond Hair,Female Characters,1972
Anthony Rodriguez II,Good Characters,Brown Eyes,Brown Hair,Male Characters,1970
Anthro,Good Characters,Brown Eyes,Brown Hair,Male Characters,1968
Mark Desmond,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,1965
Larvox,Good Characters,Black Eyes,Orange Hair,Genderless Characters,1961
Hephaestus,Neutral Characters,Blue Eyes,White Hair,Male Characters,1941
Thomas Ludlow Hallaway,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1940
Jeannette,Bad Characters,Blue Eyes,White Hair,Female Characters,2009
Dex-Starr,Bad Characters,Yellow Eyes,Blue Hair,Male Characters,2008
Michael Lane,Good Characters,Brown Eyes,Black Hair,Male Characters,2007
Arthur Joseph Curry,Good Characters,Blue Eyes,Blond Hair,Male Characters,2006
Frederick Chyre,Good Characters,Blue Eyes,Grey Hair,Male Characters,2000
Beryl Hutchinson,Good Characters,Blue Eyes,Red Hair,Female Characters,1999
Carla White,Good Characters,Brown Eyes,Brown Hair,Female Characters,1992
Jeffrey Smith,Good Characters,Brown Eyes,Black Hair,Male Characters,1990
Delilah Tyler,Good Characters,Brown Eyes,Black Hair,Female Characters,1989
Rhea Jones,Good Characters,White Eyes,Red Hair,Female Characters,1987
Gardner Grayle,Good Characters,Blue Eyes,Red Hair,Male Characters,1983
Lady Chian,Good Characters,Black Eyes,Black Hair,Female Characters,1982
Sebastian Blood VIII,Bad Characters,Grey Eyes,Black Hair,Male Characters,1982
Laura Neilsen,Good Characters,Blue Eyes,White Hair,Female Characters,1971
Mary James,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,1940
Frankenstein,Good Characters,Brown Eyes,Black Hair,Male Characters,2006
Prometheus,Bad Characters,Blue Eyes,White Hair,Male Characters,1998
Samuel Makoa,Good Characters,Black Eyes,Black Hair,Male Characters,1994
Augustus Freeman,Good Characters,Brown Eyes,Black Hair,Male Characters,1993
Courtney Mason,Good Characters,Blue Eyes,Blond Hair,Female Characters,1993
Bonnie Baxter,Good Characters,Blue Eyes,Brown Hair,Female Characters,1990
Oswald Loomis,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1988
Jack Wheeler,Good Characters,Blue Eyes,Blond Hair,Male Characters,1987
Natasha Ulyanov,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1986
Diane Meade,Good Characters,Blue Eyes,Blond Hair,Female Characters,1957
Brian Kent,Good Characters,Blue Eyes,Blond Hair,Male Characters,1955
King Standish,Good Characters,Blue Eyes,Blond Hair,Male Characters,1940
Monitor Bob,Neutral Characters,Red Eyes,Black Hair,Male Characters,2007
Darla Aquista,Good Characters,Blue Eyes,Black Hair,Female Characters,2004
Bloodwynd,Good Characters,Blue Eyes,Black Hair,Male Characters,1993
Patricia Trayce,Good Characters,Blue Eyes,Blond Hair,Female Characters,1992
Jonathan Fox,Good Characters,Blue Eyes,Black Hair,Male Characters,1990
Jewelee,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1988
Felicity Smoak,Neutral Characters,Blue Eyes,Black Hair,Female Characters,1984
Isuma Yasunari,Good Characters,Brown Eyes,Black Hair,Male Characters,1982
May Bennett,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,1982
Rod Reilly,Good Characters,Blue Eyes,Brown Hair,Male Characters,1941
Wendy Kuttler,Good Characters,Green Eyes,Black Hair,Female Characters,2006
Albrecht Krieger,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1995
Tawky Tawny,Good Characters,Orange Eyes,Orange Hair,Male Characters,1995
Gerri Brauer,Good Characters,Blue Eyes,Blond Hair,Female Characters,1994
Harry Chawney,Good Characters,White Eyes,Grey Hair,Male Characters,1994
William MacIntyre,Good Characters,White Eyes,White Hair,Male Characters,1994
Atlan,Good Characters,Blue Eyes,Blond Hair,Male Characters,1990
Corky Baxter,Good Characters,Blue Eyes,Brown Hair,Male Characters,1990
Boris Ulyanov,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1986
Michelle Carter,Good Characters,Blue Eyes,Blond Hair,Female Characters,1986
William Vickers,Good Characters,Blue Eyes,Blond Hair,Male Characters,1984
Prince Topaz,Good Characters,Yellow Eyes,Blond Hair,Male Characters,1983
Ulysses Hazard,Good Characters,Brown Eyes,Black Hair,Male Characters,1977
Eric Needham,Bad Characters,Brown Eyes,Black Hair,Male Characters,1976
Steven Smith,Good Characters,Blue Eyes,Blond Hair,Male Characters,1972
Ira Quimby,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1963
Simon Hurt,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1963
Amos Fortune,Bad Characters,Black Eyes,Black Hair,Male Characters,1961
William Tockman,Bad Characters,Blue Eyes,Black Hair,Male Characters,1960
Mortimer Drake,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1943
Hades,Neutral Characters,Black Eyes,Black Hair,Male Characters,1941
Santa Claus,Good Characters,Blue Eyes,White Hair,Male Characters,1940
Andre Twist,Good Characters,Blue Eyes,Blond Hair,Male Characters,2006
Marcus Driver,Good Characters,Blue Eyes,Blond Hair,Male Characters,2003
